x,y,z
-10.418,5.971,-2.131
-10.165,6.592,-2.211
-9.920,7.195,-2.285
-9.674,7.800,-2.357
-9.428,8.404,-2.425
-9.182,9.009,-2.491
-8.936,9.614,-2.553
-8.690,10.219,-2.612
-8.444,10.824,-2.668
-8.198,11.429,-2.721
-7.952,12.034,-2.771
-7.706,12.638,-2.818
-7.448,13.273,-2.865
-7.218,13.898,-2.907
-7.117,14.536,-2.943
-7.184,15.179,-2.973
-7.414,15.784,-2.994
-7.792,16.309,-3.005
-8.293,16.719,-3.008
-8.882,16.986,-3.002
-9.521,17.092,-2.990
-10.165,17.030,-2.972
-10.787,16.797,-2.948
-11.352,16.507,-2.923
-11.984,16.166,-2.893
-12.544,15.811,-2.864
-12.991,15.341,-2.831
-13.304,14.788,-2.795
-13.562,14.167,-2.755
-13.805,13.568,-2.712
-14.051,12.963,-2.666
-14.297,12.358,-2.617
-14.543,11.753,-2.565
-14.789,11.148,-2.510
-15.035,10.544,-2.452
-15.281,9.939,-2.390
-15.526,9.336,-2.325
-15.770,8.736,-2.257
-16.012,8.140,-2.187
-16.271,7.505,-2.108
-16.510,6.884,-2.028
-16.638,6.251,-1.947
-16.598,5.592,-1.864
-16.386,4.966,-1.788
-16.017,4.418,-1.726
-15.517,3.986,-1.684
-14.921,3.702,-1.666
-14.271,3.584,-1.674
-13.613,3.641,-1.708
-12.993,3.869,-1.764
-12.455,4.252,-1.838
-12.037,4.763,-1.921
-11.737,5.387,-2.011
-11.496,5.973,-2.091
-11.249,6.581,-2.171
-10.994,7.209,-2.249
-10.748,7.813,-2.322
-10.502,8.418,-2.391
-10.256,9.023,-2.457
-10.010,9.628,-2.520
-9.764,10.233,-2.580
-9.518,10.838,-2.637
-9.272,11.443,-2.691
-9.026,12.047,-2.741
-8.780,12.652,-2.789
-8.534,13.256,-2.834
-8.293,13.855,-2.876
-8.136,14.504,-2.915
-8.146,15.169,-2.947
-8.333,15.808,-2.971
-8.682,16.374,-2.985
-9.169,16.828,-2.990
-9.759,17.136,-2.985
-10.409,17.278,-2.974
-11.062,17.241,-2.956
-11.798,17.088,-2.933
-12.533,16.923,-2.909
-13.202,16.768,-2.887
-13.836,16.599,-2.865
-14.404,16.305,-2.839
-14.877,15.877,-2.809
-15.229,15.337,-2.775
-15.489,14.737,-2.737
-15.732,14.140,-2.697
-15.978,13.535,-2.654
-16.224,12.930,-2.607
-16.470,12.325,-2.557
-16.716,11.720,-2.504
-16.961,11.116,-2.447
-17.207,10.512,-2.388
-17.452,9.910,-2.325
-17.695,9.311,-2.259
-17.936,8.717,-2.191
-18.176,8.127,-2.120
-18.423,7.519,-2.043
-18.724,6.960,-1.967
-19.162,6.471,-1.893
-19.711,6.114,-1.830
-20.399,5.906,-1.781
-21.167,5.795,-1.743
-21.905,5.698,-1.707
-22.695,5.597,-1.669
-23.376,5.513,-1.637
-24.015,5.445,-1.609
-24.674,5.481,-1.595
-25.278,5.682,-1.606
-25.811,6.030,-1.639
-26.238,6.502,-1.690
-26.532,7.067,-1.756
-26.673,7.688,-1.829
-26.651,8.325,-1.905
